name,date_utc,success,rocket,flight_number,year,success_flag,decade,launch_count,launch_share
Es’hail 2,2018-11-15 20:46:00+00:00,True,5e9d0d95eda69973a809d1ec,70,2018,1,2010s,81,0.012345679012345678
SSO-A,2018-12-03 18:34:00+00:00,True,5e9d0d95eda69973a809d1ec,71,2018,1,2010s,81,0.012345679012345678
CRS-16,2018-12-05 18:16:00+00:00,True,5e9d0d95eda69973a809d1ec,72,2018,1,2010s,81,0.012345679012345678
GPS III SV01,2018-12-23 13:51:00+00:00,True,5e9d0d95eda69973a809d1ec,73,2018,1,2010s,81,0.012345679012345678
Iridium NEXT Mission 8,2019-01-11 15:31:00+00:00,True,5e9d0d95eda69973a809d1ec,74,2019,1,2010s,81,0.012345679012345678
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22 01:45:00+00:00,True,5e9d0d95eda69973a809d1ec,75,2019,1,2010s,81,0.012345679012345678
CCtCap Demo Mission 1,2019-03-02 07:45:00+00:00,True,5e9d0d95eda69973a809d1ec,76,2019,1,2010s,81,0.012345679012345678
ArabSat 6A,2019-04-11 22:35:00+00:00,True,5e9d0d95eda69974db09d1ed,77,2019,1,2010s,81,0.012345679012345678
CRS-17,2019-05-04 06:48:00+00:00,True,5e9d0d95eda69973a809d1ec,78,2019,1,2010s,81,0.012345679012345678
Starlink v0.9,2019-05-24 02:30:00+00:00,True,5e9d0d95eda69973a809d1ec,79,2019,1,2010s,81,0.012345679012345678
RADARSAT Constellation,2019-06-12 14:17:00+00:00,True,5e9d0d95eda69973a809d1ec,80,2019,1,2010s,81,0.012345679012345678
STP-2,2019-06-25 03:30:00+00:00,True,5e9d0d95eda69974db09d1ed,81,2019,1,2010s,81,0.012345679012345678
CRS-18,2019-07-25 22:01:00+00:00,True,5e9d0d95eda69973a809d1ec,82,2019,1,2010s,81,0.012345679012345678
Amos-17,2019-08-06 22:52:00+00:00,True,5e9d0d95eda69973a809d1ec,83,2019,1,2010s,81,0.012345679012345678
Starlink-1,2019-11-11 14:56:00+00:00,True,5e9d0d95eda69973a809d1ec,84,2019,1,2010s,81,0.012345679012345678
CRS-19,2019-12-05 17:29:23+00:00,True,5e9d0d95eda69973a809d1ec,85,2019,1,2010s,81,0.012345679012345678
JCSat 18 / Kacific 1,2019-12-17 00:10:00+00:00,True,5e9d0d95eda69973a809d1ec,86,2019,1,2010s,81,0.012345679012345678
Starlink-2,2020-01-07 02:19:00+00:00,True,5e9d0d95eda69973a809d1ec,87,2020,1,2020s,115,0.008695652173913044
Crew Dragon In Flight Abort Test,2020-01-19 14:00:00+00:00,True,5e9d0d95eda69973a809d1ec,88,2020,1,2020s,115,0.008695652173913044
Starlink-3,2020-01-29 14:06:00+00:00,True,5e9d0d95eda69973a809d1ec,89,2020,1,2020s,115,0.008695652173913044
Starlink-4,2020-02-17 15:05:55+00:00,True,5e9d0d95eda69973a809d1ec,90,2020,1,2020s,115,0.008695652173913044
CRS-20,2020-03-07 04:50:31+00:00,True,5e9d0d95eda69973a809d1ec,91,2020,1,2020s,115,0.008695652173913044
Starlink-5,2020-03-18 12:16:00+00:00,True,5e9d0d95eda69973a809d1ec,92,2020,1,2020s,115,0.008695652173913044
Starlink-6,2020-04-22 19:30:00+00:00,True,5e9d0d95eda69973a809d1ec,93,2020,1,2020s,115,0.008695652173913044
CCtCap Demo Mission 2,2020-05-30 19:22:00+00:00,True,5e9d0d95eda69973a809d1ec,94,2020,1,2020s,115,0.008695652173913044
Starlink-7,2020-06-04 01:25:00+00:00,True,5e9d0d95eda69973a809d1ec,95,2020,1,2020s,115,0.008695652173913044
Starlink-8 & SkySat 16-18,2020-06-13 09:21:00+00:00,True,5e9d0d95eda69973a809d1ec,96,2020,1,2020s,115,0.008695652173913044
GPS III SV03 (Columbus),2020-06-30 19:55:00+00:00,True,5e9d0d95eda69973a809d1ec,97,2020,1,2020s,115,0.008695652173913044
ANASIS-II,2020-07-20 21:30:00+00:00,True,5e9d0d95eda69973a809d1ec,98,2020,1,2020s,115,0.008695652173913044
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07 05:12:00+00:00,True,5e9d0d95eda69973a809d1ec,99,2020,1,2020s,115,0.008695652173913044
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18 14:31:00+00:00,True,5e9d0d95eda69973a809d1ec,100,2020,1,2020s,115,0.008695652173913044
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30 23:18:00+00:00,True,5e9d0d95eda69973a809d1ec,101,2020,1,2020s,115,0.008695652173913044
Starlink-11 (v1.0),2020-09-03 12:46:00+00:00,True,5e9d0d95eda69973a809d1ec,102,2020,1,2020s,115,0.008695652173913044
Starlink-12 (v1.0),2020-10-06 11:29:00+00:00,True,5e9d0d95eda69973a809d1ec,103,2020,1,2020s,115,0.008695652173913044
Starlink-13 (v1.0),2020-10-18 12:25:00+00:00,True,5e9d0d95eda69973a809d1ec,104,2020,1,2020s,115,0.008695652173913044
Starlink-14 (v1.0),2020-10-24 15:31:00+00:00,True,5e9d0d95eda69973a809d1ec,105,2020,1,2020s,115,0.008695652173913044
GPS III SV04 (Sacagawea),2020-11-05 23:24:00+00:00,True,5e9d0d95eda69973a809d1ec,106,2020,1,2020s,115,0.008695652173913044
Crew-1,2020-11-16 00:27:00+00:00,True,5e9d0d95eda69973a809d1ec,107,2020,1,2020s,115,0.008695652173913044
Sentinel-6 Michael Freilich,2020-11-21 17:17:00+00:00,True,5e9d0d95eda69973a809d1ec,108,2020,1,2020s,115,0.008695652173913044
Starlink-15 (v1.0),2020-11-25 02:13:00+00:00,True,5e9d0d95eda69973a809d1ec,109,2020,1,2020s,115,0.008695652173913044
CRS-21,2020-12-06 16:17:00+00:00,True,5e9d0d95eda69973a809d1ec,110,2020,1,2020s,115,0.008695652173913044
SXM-7,2020-12-13 17:30:00+00:00,True,5e9d0d95eda69973a809d1ec,111,2020,1,2020s,115,0.008695652173913044
NROL-108,2020-12-19 14:00:00+00:00,True,5e9d0d95eda69973a809d1ec,112,2020,1,2020s,115,0.008695652173913044
Turksat 5A,2021-01-08 02:15:00+00:00,True,5e9d0d95eda69973a809d1ec,113,2021,1,2020s,115,0.008695652173913044
Starlink-16 (v1.0),2021-01-20 13:02:00+00:00,True,5e9d0d95eda69973a809d1ec,114,2021,1,2020s,115,0.008695652173913044
Transporter-1,2021-01-24 15:00:00+00:00,True,5e9d0d95eda69973a809d1ec,115,2021,1,2020s,115,0.008695652173913044
Starlink-18 (v1.0),2021-02-04 06:19:00+00:00,True,5e9d0d95eda69973a809d1ec,116,2021,1,2020s,115,0.008695652173913044
Starlink-19 (v1.0),2021-02-16 03:59:00+00:00,True,5e9d0d95eda69973a809d1ec,117,2021,1,2020s,115,0.008695652173913044
Starlink-17 (v1.0),2021-03-04 08:24:00+00:00,True,5e9d0d95eda69973a809d1ec,118,2021,1,2020s,115,0.008695652173913044
Starlink-20 (v1.0),2021-03-11 08:13:00+00:00,True,5e9d0d95eda69973a809d1ec,119,2021,1,2020s,115,0.008695652173913044
Starlink-21 (v1.0),2021-03-14 10:01:00+00:00,True,5e9d0d95eda69973a809d1ec,120,2021,1,2020s,115,0.008695652173913044
Starlink-22 (v1.0),2021-03-24 08:28:00+00:00,True,5e9d0d95eda69973a809d1ec,121,2021,1,2020s,115,0.008695652173913044
Starlink-23 (v1.0),2021-04-07 16:34:00+00:00,True,5e9d0d95eda69973a809d1ec,122,2021,1,2020s,115,0.008695652173913044
Crew-2,2021-04-23 09:49:00+00:00,True,5e9d0d95eda69973a809d1ec,123,2021,1,2020s,115,0.008695652173913044
Starlink-24 (v1.0),2021-04-29 03:44:00+00:00,True,5e9d0d95eda69973a809d1ec,124,2021,1,2020s,115,0.008695652173913044
Starlink-25 (v1.0),2021-05-04 19:01:00+00:00,True,5e9d0d95eda69973a809d1ec,125,2021,1,2020s,115,0.008695652173913044
Starlink-27 (v1.0),2021-05-09 06:42:00+00:00,True,5e9d0d95eda69973a809d1ec,126,2021,1,2020s,115,0.008695652173913044
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,True,5e9d0d95eda69973a809d1ec,127,2021,1,2020s,115,0.008695652173913044
Starlink-28 (v1.0),2021-05-26 18:59:00+00:00,True,5e9d0d95eda69973a809d1ec,128,2021,1,2020s,115,0.008695652173913044
CRS-22 & IROSA,2021-06-03 17:29:00+00:00,True,5e9d0d95eda69973a809d1ec,129,2021,1,2020s,115,0.008695652173913044
SXM-8,2021-06-06 04:26:00+00:00,True,5e9d0d95eda69973a809d1ec,130,2021,1,2020s,115,0.008695652173913044
GPS III SV05,2021-06-17 16:09:00+00:00,True,5e9d0d95eda69973a809d1ec,131,2021,1,2020s,115,0.008695652173913044
Transporter-2,2021-06-30 19:31:00+00:00,True,5e9d0d95eda69973a809d1ec,132,2021,1,2020s,115,0.008695652173913044
CRS-23,2021-08-29 07:14:00+00:00,True,5e9d0d95eda69973a809d1ec,133,2021,1,2020s,115,0.008695652173913044
Starlink 2-1 (v1.5),2021-09-14 03:55:00+00:00,True,5e9d0d95eda69973a809d1ec,134,2021,1,2020s,115,0.008695652173913044
Inspiration4,2021-09-16 00:02:00+00:00,True,5e9d0d95eda69973a809d1ec,135,2021,1,2020s,115,0.008695652173913044
Crew-3,2021-11-11 02:03:00+00:00,True,5e9d0d95eda69973a809d1ec,136,2021,1,2020s,115,0.008695652173913044
Starlink 4-1 (v1.5),2021-11-13 12:40:00+00:00,True,5e9d0d95eda69973a809d1ec,137,2021,1,2020s,115,0.008695652173913044
DART,2021-11-24 06:20:00+00:00,True,5e9d0d95eda69973a809d1ec,138,2021,1,2020s,115,0.008695652173913044
Starlink 4-3 (v1.5),2021-12-01 23:20:00+00:00,True,5e9d0d95eda69973a809d1ec,139,2021,1,2020s,115,0.008695652173913044
IXPE,2021-12-09 06:00:00+00:00,True,5e9d0d95eda69973a809d1ec,140,2021,1,2020s,115,0.008695652173913044
Starlink 4-4 (v1.5),2021-12-18 12:41:40+00:00,True,5e9d0d95eda69973a809d1ec,141,2021,1,2020s,115,0.008695652173913044
Türksat 5B,2021-12-19 03:58:00+00:00,True,5e9d0d95eda69973a809d1ec,142,2021,1,2020s,115,0.008695652173913044
